id,entreprise
1,IBM
1,International Business Machine(IBM)
1,La Wellspring Consultancy Pvt. Ltd
2,IBM
2,VMware
20,IBM
20,Prime Minister's Office
21,WilsonHCG
21,Stryker Biotech France SARL
21,IBM
21,Freelancer
21,La Scuola Toscana
27,PwC
27,ENGIE
27,IBM Global Services
27,WOSM - World Organization of the Scout Movement
27,GFI Informatique
28,IBM
28,HCL Technologies
28,Krishna Consultants
29,Ericsson
29,IBM
29,ITI Neovision media company
29,IBM Turkey
29,IBM Global Services
32,IBM
34,IBM
34,IBM
34,IBM
35,ITWORX Education
35,IBM
35,Asset Technology Group outsourced to Vodafone Egypt
35,Beshara Group
35,ICL Fujitsu
38,IBM
38,JPMorgan Chase
38,Shoptech Industrial Software
40,IBM
40,ISDI Digital University™
40,Informix
40,PROESA
40,ASAE Consultores S.A. de C.V.
41,SAP
41,Microsoft
41,IBM
41,TED Conferences
41,International Student Leadership Community
42,IBM Corporation
42,IBM
42,IBM
43,IBM
43,NCR Corporation
43,Radiant Systems Inc.
49,IBM
49,Accenture
49,Genpact
49,GXS
49,Deloitte
51,IBM
51,Cisco
51,Dell
78,IBM
78,Hilton London Metropole
78,ABB
78,CRSP Brno
78,Persefona z. s.
79,IBM
79,Shuan-Chuang University
80,IBM
80,CIPPEC
82,IBM
83,IBM
83,NGA Human Resources
83,IBM
83,Zachorowska & Partners
83,Teleinvention Call/Contact Center
85,IBM
85,IBM
85,Siemens
90,WISSAL GROUP
90,BNP Paribas
90,Danone
90,paris
90,Societe Generale
91,ADEX Technology
91,ProIT Algeria
91,Huawei Technologies
94,CNRS
94,Qatar Computing Research Institute (QCRI)
94,Yahoo! Labs
94,"AT&T Labs, Inc."
94,INRIA
97,KHIDMA TECH
97,JOINT WATER COMPANY  LLC
97,FOXNAS design
97,ESPACE MEDICAL
97,Entreprise d’installation de camera de surveillance et système d’alarme
100,ADEX Technology
100,ProIT Algeria
100,Huawei Technologies
101,CNRS
101,Qatar Computing Research Institute (QCRI)
101,Yahoo! Labs
101,"AT&T Labs, Inc."
101,INRIA
102,ADEX Technology
102,ProIT Algeria
102,Huawei Technologies
