id,entreprise,dateDeb,duree,attrition
1,IBM,2012-04-01 00:00:00,110,0
1,International Business Machine(IBM),2009-09-01 00:00:00,141,0
1,La Wellspring Consultancy Pvt. Ltd,2008-01-01 00:00:00,8,1
2,IBM,2012-02-01 00:00:00,112,0
2,VMware,2009-08-01 00:00:00,29,1
3,IBM Singapore,2017-10-01 00:00:00,44,0
3,IBM ASEAN,2015-07-01 00:00:00,71,0
3,IBM India,2001-01-01 00:00:00,36,1
7,Atos,2015-07-01 00:00:00,71,0
7,Bull,2014-02-01 00:00:00,18,1
7,CFAO Technologies,2006-06-01 00:00:00,40,1
7,Schlumbergersema Inc,2001-01-01 00:00:00,26,1
10,IBM,2015-12-01 00:00:00,1,1
10,"Apex Knowledge, LLC.",2013-06-01 00:00:00,14,1
11,Novartis,2017-05-01 00:00:00,39,1
11,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,2015-09-01 00:00:00,20,1
11,WANA Consulting,2012-08-01 00:00:00,45,1
11,IBM,2010-05-01 00:00:00,24,1
11,British American Tobacco,2009-04-01 00:00:00,13,1
12,IBM,2019-06-01 00:00:00,24,0
12,Mazars,2018-09-01 00:00:00,6,1
12,RTI Algeria,2016-10-01 00:00:00,5,1
12,RTI Algeria,2016-02-01 00:00:00,5,1
12,ATM Mobilis,2015-04-01 00:00:00,3,1
13,IBM,2018-01-01 00:00:00,41,0
13,HP,2002-01-01 00:00:00,24,1
13,Dealigence Technologies,2000-01-01 00:00:00,24,1
15,Data Insight,2019-12-01 00:00:00,18,0
15,IBM,2019-04-01 00:00:00,6,1
15,Centre de Développement des Technologies Avancées (CDTA),2017-08-01 00:00:00,1,1
15,ENAP,2016-08-01 00:00:00,2,1
17,Freelance,2020-10-01 00:00:00,8,0
17,"MEEZA, Managed IT Services Provider",2019-11-01 00:00:00,1,1
17,"MEEZA , Managed IT Services Provider",2017-03-01 00:00:00,33,1
17,Gamileg Solutions SL,2004-01-01 00:00:00,60,1
17,BT Engage / Lynx Technology,1998-01-01 00:00:00,72,1
18,Djazair Port World Spa,2011-05-01 00:00:00,121,0
18,IBM,2009-03-01 00:00:00,24,1
18,Siemens,2005-05-01 00:00:00,45,1
18,BMGI,1998-12-01 00:00:00,67,1
20,Salesforce,2018-01-01 00:00:00,36,0
20,Cognizant,2015-01-01 00:00:00,24,1
20,IBM,2013-01-01 00:00:00,1,1
20,The Hackett Group,2010-09-01 00:00:00,31,1
20,Accenture,2006-01-01 00:00:00,57,1
21,IBM,2019-07-01 00:00:00,23,0
21,Prime Minister's Office,2008-01-01 00:00:00,36,1
22,WilsonHCG,2018-04-01 00:00:00,20,1
22,Stryker Biotech France SARL,2019-07-01 00:00:00,4,1
22,IBM,2018-05-01 00:00:00,14,1
22,Freelancer,2017-10-01 00:00:00,7,1
22,La Scuola Toscana,2017-08-01 00:00:00,2,1
28,PwC,2015-01-01 00:00:00,36,1
28,ENGIE,2013-01-01 00:00:00,24,1
28,IBM Global Services,2010-01-01 00:00:00,1,1
28,WOSM - World Organization of the Scout Movement,1996-01-01 00:00:00,144,1
28,GFI Informatique,2007-05-01 00:00:00,4,1
29,IBM,2019-09-01 00:00:00,21,0
29,HCL Technologies,2018-04-01 00:00:00,18,1
29,Krishna Consultants,2017-03-01 00:00:00,13,1
30,Ericsson,2017-02-01 00:00:00,52,0
30,IBM,2011-01-01 00:00:00,6,1
30,ITI Neovision media company,2009-07-01 00:00:00,19,1
30,IBM Turkey,2009-06-01 00:00:00,20,1
30,IBM Global Services,2000-01-01 00:00:00,108,1
31,IBM,2021-01-01 00:00:00,5,0
31,WilsonHCG,2021-01-01 00:00:00,5,0
31,McKesson Canada,2020-01-01 00:00:00,7,1
31,MDA,2018-12-01 00:00:00,10,1
31,Cofomo,2018-01-01 00:00:00,12,1
33,IBM,2016-01-01 00:00:00,65,0
35,IBM,2019-08-01 00:00:00,22,0
35,IBM,2014-12-01 00:00:00,14,1
35,IBM,2010-01-01 00:00:00,48,1
36,ITWORX Education,2017-03-01 00:00:00,51,0
36,IBM,2013-02-01 00:00:00,50,1
36,Asset Technology Group outsourced to Vodafone Egypt,2009-02-01 00:00:00,48,1
36,Beshara Group,2008-01-01 00:00:00,13,1
36,ICL Fujitsu,2006-12-01 00:00:00,1,1
38,IBM,2019-12-01 00:00:00,18,0
